"","ym","temp"
"206",191802,1.70357142857143
"207",191803,6.50322580645161
"208",191804,13.7866666666667
"209",191805,16.3903225806452
"210",191806,17.3233333333333
"211",191807,20.7677419354839
"212",191808,19.7806451612903
"213",191809,16.72
"214",191810,11.1129032258065
"215",191811,3.32666666666667
"216",191812,1.66129032258065
"217",191901,2.45806451612903
"218",191902,1.24642857142857
"219",191903,6.43870967741935
"220",191904,10.3233333333333
"221",191905,11.9935483870968
"222",191906,18.6266666666667
"223",191907,19.3096774193548
"224",191908,20.0903225806452
"225",191909,18.2133333333333
"226",191910,9.71290322580645
"227",191911,3.37
"228",191912,1.26129032258065
"229",192001,3.11935483870968
"230",192002,2.16071428571429
"231",192003,8.15806451612903
"232",192004,14.25
"233",192005,18.458064516129
"234",192006,17.7966666666667
